name,description,condition,status,rateOption,rentalFee,replacementCost,freeToBorrow,whatItemOffers,whatIsIncluded,knownIssues,usageLimitations,thumbnailImage,photos,categories,tags,isTrending,viewCount,bookingCount,likeCount,lenderId,borrowerId,availability
Power Bank #011,Power Bank in poor condition.,POOR,AVAILABLE,PER_DAY,177,11549,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-11/640/480,"[""https://picsum.photos/seed/item-11/640/480"",""https://picsum.photos/seed/item-11-a/1024/768"",""https://picsum.photos/seed/item-11-b/1024/768""]","[""VEHICLES_ACCESSORIES""]","[""campus"",""electronics"",""audio"",""portable""]",true,781,62,93,,,"[{""startDate"":""2026-03-18T02:50:23.197Z"",""endDate"":""2026-03-20T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-23T02:50:23.197Z"",""endDate"":""2026-03-27T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Cordless Drill #012,Cordless Drill in poor condition.,POOR,AVAILABLE,PER_DAY,212,6680,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-12/640/480,"[""https://picsum.photos/seed/item-12/640/480"",""https://picsum.photos/seed/item-12-a/1024/768"",""https://picsum.photos/seed/item-12-b/1024/768""]","[""TOYS_GAMES"",""OTHER"",""PET_SUPPLIES""]","[""tools"",""student-friendly"",""events"",""campus""]",true,1807,24,88,,,"[{""startDate"":""2026-03-07T02:50:23.197Z"",""endDate"":""2026-03-09T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-12T02:50:23.197Z"",""endDate"":""2026-03-16T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Power Bank #013,Power Bank in new condition.,NEW,AVAILABLE,PER_HOUR,143,1651,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-13/640/480,"[""https://picsum.photos/seed/item-13/640/480"",""https://picsum.photos/seed/item-13-a/1024/768"",""https://picsum.photos/seed/item-13-b/1024/768""]","[""SPORTS_OUTDOORS""]","[""audio"",""electronics"",""clean"",""tools""]",true,1162,62,71,,,"[{""startDate"":""2026-04-10T02:50:23.197Z"",""endDate"":""2026-04-12T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-15T02:50:23.197Z"",""endDate"":""2026-04-19T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Soldering Kit #014,Soldering Kit in new condition.,NEW,AVAILABLE,PER_HOUR,37,9047,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-14/640/480,"[""https://picsum.photos/seed/item-14/640/480"",""https://picsum.photos/seed/item-14-a/1024/768"",""https://picsum.photos/seed/item-14-b/1024/768""]","[""MUSIC_AUDIO""]","[""home"",""audio""]",true,1640,18,116,,,"[{""startDate"":""2026-04-01T02:50:23.197Z"",""endDate"":""2026-04-03T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-06T02:50:23.197Z"",""endDate"":""2026-04-10T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Power Bank #015,Power Bank in poor condition.,POOR,RENTED,PER_HOUR,58,6028,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-15/640/480,"[""https://picsum.photos/seed/item-15/640/480"",""https://picsum.photos/seed/item-15-a/1024/768"",""https://picsum.photos/seed/item-15-b/1024/768""]","[""TOOLS"",""OTHER"",""VEHICLES_ACCESSORIES""]","[""events"",""sports""]",true,1781,6,103,,,"[{""startDate"":""2026-03-18T02:50:23.197Z"",""endDate"":""2026-03-20T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-23T02:50:23.197Z"",""endDate"":""2026-03-27T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Toolbox Set #016,Toolbox Set in poor condition.,POOR,AVAILABLE,PER_HOUR,323,7143,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-16/640/480,"[""https://picsum.photos/seed/item-16/640/480"",""https://picsum.photos/seed/item-16-a/1024/768"",""https://picsum.photos/seed/item-16-b/1024/768""]","[""HOME_APPLIANCES""]","[""home"",""tools"",""project""]",true,2045,64,112,,,"[{""startDate"":""2026-03-10T02:50:23.197Z"",""endDate"":""2026-03-12T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-15T02:50:23.197Z"",""endDate"":""2026-03-19T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Mountain Bike #017,Mountain Bike in like new condition.,LIKE_NEW,AVAILABLE,PER_DAY,321,7845,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-17/640/480,"[""https://picsum.photos/seed/item-17/640/480"",""https://picsum.photos/seed/item-17-a/1024/768"",""https://picsum.photos/seed/item-17-b/1024/768""]","[""VEHICLES_ACCESSORIES"",""TOYS_GAMES"",""PET_SUPPLIES""]","[""sports"",""portable""]",false,196,63,52,,,"[{""startDate"":""2026-03-30T02:50:23.197Z"",""endDate"":""2026-04-01T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-04T02:50:23.197Z"",""endDate"":""2026-04-08T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Acoustic Guitar #018,Acoustic Guitar in like new condition.,LIKE_NEW,AVAILABLE,PER_DAY,96,8233,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-18/640/480,"[""https://picsum.photos/seed/item-18/640/480"",""https://picsum.photos/seed/item-18-a/1024/768"",""https://picsum.photos/seed/item-18-b/1024/768""]","[""MUSIC_AUDIO"",""BOOKS""]","[""study"",""battery"",""project""]",false,359,38,4,,,"[{""startDate"":""2026-03-19T02:50:23.197Z"",""endDate"":""2026-03-21T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-24T02:50:23.197Z"",""endDate"":""2026-03-28T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Sewing Machine #019,Sewing Machine in poor condition.,POOR,AVAILABLE,PER_DAY,0,2322,true,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-19/640/480,"[""https://picsum.photos/seed/item-19/640/480"",""https://picsum.photos/seed/item-19-a/1024/768"",""https://picsum.photos/seed/item-19-b/1024/768""]","[""FURNITURE"",""HEALTH_BEAUTY""]","[""student-friendly"",""audio""]",true,1127,19,104,,,"[{""startDate"":""2026-03-06T02:50:23.197Z"",""endDate"":""2026-03-08T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-11T02:50:23.197Z"",""endDate"":""2026-03-15T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Cordless Drill #020,Cordless Drill in fair condition.,FAIR,RENTED,PER_HOUR,38,5157,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-20/640/480,"[""https://picsum.photos/seed/item-20/640/480"",""https://picsum.photos/seed/item-20-a/1024/768"",""https://picsum.photos/seed/item-20-b/1024/768""]","[""FURNITURE"",""MUSIC_AUDIO""]","[""campus"",""tools"",""battery""]",false,371,51,52,,,"[{""startDate"":""2026-03-20T02:50:23.197Z"",""endDate"":""2026-03-22T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-25T02:50:23.197Z"",""endDate"":""2026-03-29T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Power Bank #021,Power Bank in good condition.,GOOD,AVAILABLE,PER_HOUR,152,5423,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-21/640/480,"[""https://picsum.photos/seed/item-21/640/480"",""https://picsum.photos/seed/item-21-a/1024/768"",""https://picsum.photos/seed/item-21-b/1024/768""]","[""FURNITURE"",""OTHER""]","[""home"",""student-friendly"",""study""]",true,1271,73,30,,,"[{""startDate"":""2026-03-15T02:50:23.197Z"",""endDate"":""2026-03-17T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-20T02:50:23.197Z"",""endDate"":""2026-03-24T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Office Chair #022,Office Chair in poor condition.,POOR,RENTED,PER_HOUR,216,11682,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-22/640/480,"[""https://picsum.photos/seed/item-22/640/480"",""https://picsum.photos/seed/item-22-a/1024/768"",""https://picsum.photos/seed/item-22-b/1024/768""]","[""BOOKS""]","[""sports"",""events"",""portable""]",true,955,75,84,,,"[{""startDate"":""2026-03-12T02:50:23.197Z"",""endDate"":""2026-03-14T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-17T02:50:23.197Z"",""endDate"":""2026-03-21T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Soldering Kit #023,Soldering Kit in good condition.,GOOD,AVAILABLE,PER_DAY,0,11243,true,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-23/640/480,"[""https://picsum.photos/seed/item-23/640/480"",""https://picsum.photos/seed/item-23-a/1024/768"",""https://picsum.photos/seed/item-23-b/1024/768""]","[""TOOLS""]","[""clean"",""events""]",true,1461,14,22,,,"[{""startDate"":""2026-03-31T02:50:23.197Z"",""endDate"":""2026-04-02T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-05T02:50:23.197Z"",""endDate"":""2026-04-09T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Badminton Racket Set #024,Badminton Racket Set in poor condition.,POOR,AVAILABLE,PER_HOUR,32,1245,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-24/640/480,"[""https://picsum.photos/seed/item-24/640/480"",""https://picsum.photos/seed/item-24-a/1024/768"",""https://picsum.photos/seed/item-24-b/1024/768""]","[""TOOLS"",""TOYS_GAMES"",""OTHER""]","[""campus"",""portable""]",true,2026,67,21,,,"[{""startDate"":""2026-04-05T02:50:23.197Z"",""endDate"":""2026-04-07T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-10T02:50:23.197Z"",""endDate"":""2026-04-14T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Digital Camera #025,Digital Camera in poor condition.,POOR,AVAILABLE,PER_HOUR,263,4072,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-25/640/480,"[""https://picsum.photos/seed/item-25/640/480"",""https://picsum.photos/seed/item-25-a/1024/768"",""https://picsum.photos/seed/item-25-b/1024/768""]","[""TOOLS""]","[""home"",""electronics""]",true,1334,78,101,,,"[{""startDate"":""2026-04-02T02:50:23.197Z"",""endDate"":""2026-04-04T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-07T02:50:23.197Z"",""endDate"":""2026-04-11T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Study Lamp #026,Study Lamp in like new condition.,LIKE_NEW,RENTED,PER_DAY,273,11420,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-26/640/480,"[""https://picsum.photos/seed/item-26/640/480"",""https://picsum.photos/seed/item-26-a/1024/768"",""https://picsum.photos/seed/item-26-b/1024/768""]","[""TOYS_GAMES"",""TOOLS"",""CLOTHING""]","[""events"",""campus""]",true,97,68,141,,,"[{""startDate"":""2026-03-26T02:50:23.197Z"",""endDate"":""2026-03-28T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-31T02:50:23.197Z"",""endDate"":""2026-04-04T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Whiteboard Stand #027,Whiteboard Stand in good condition.,GOOD,DEACTIVATED,PER_DAY,240,2284,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-27/640/480,"[""https://picsum.photos/seed/item-27/640/480"",""https://picsum.photos/seed/item-27-a/1024/768"",""https://picsum.photos/seed/item-27-b/1024/768""]","[""HEALTH_BEAUTY"",""CLOTHING"",""OTHER""]","[""tools"",""electronics"",""portable"",""kitchen""]",true,1922,51,141,,,"[{""startDate"":""2026-03-21T02:50:23.197Z"",""endDate"":""2026-03-23T02:50:23.197Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-26T02:50:23.197Z"",""endDate"":""2026-03-30T02:50:23.197Z"",""status"":""AVAILABLE""}]"
Stand Mixer #028,Stand Mixer in new condition.,NEW,DEACTIVATED,PER_HOUR,55,5222,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-28/640/480,"[""https://picsum.photos/seed/item-28/640/480"",""https://picsum.photos/seed/item-28-a/1024/768"",""https://picsum.photos/seed/item-28-b/1024/768""]","[""FURNITURE"",""SPORTS_OUTDOORS"",""BOOKS""]","[""electronics"",""study"",""events""]",true,1271,53,34,,,"[{""startDate"":""2026-03-18T02:50:23.198Z"",""endDate"":""2026-03-20T02:50:23.198Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-23T02:50:23.198Z"",""endDate"":""2026-03-27T02:50:23.198Z"",""status"":""AVAILABLE""}]"
Camping Tent #029,Camping Tent in good condition.,GOOD,DEACTIVATED,PER_HOUR,293,8504,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-29/640/480,"[""https://picsum.photos/seed/item-29/640/480"",""https://picsum.photos/seed/item-29-a/1024/768"",""https://picsum.photos/seed/item-29-b/1024/768""]","[""SPORTS_OUTDOORS"",""HOME_APPLIANCES""]","[""home"",""electronics"",""study"",""clean""]",true,1995,25,22,,,"[{""startDate"":""2026-03-24T02:50:23.198Z"",""endDate"":""2026-03-26T02:50:23.198Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-29T02:50:23.198Z"",""endDate"":""2026-04-02T02:50:23.198Z"",""status"":""AVAILABLE""}]"
Digital Camera #030,Digital Camera in fair condition.,FAIR,AVAILABLE,PER_DAY,0,1091,true,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-30/640/480,"[""https://picsum.photos/seed/item-30/640/480"",""https://picsum.photos/seed/item-30-a/1024/768"",""https://picsum.photos/seed/item-30-b/1024/768""]","[""VEHICLES_ACCESSORIES"",""TOOLS"",""SCHOOL_SUPPLIES""]","[""project"",""study"",""events"",""battery""]",true,2206,62,83,,,"[{""startDate"":""2026-03-27T02:50:23.198Z"",""endDate"":""2026-03-29T02:50:23.198Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-01T02:50:23.198Z"",""endDate"":""2026-04-05T02:50:23.198Z"",""status"":""AVAILABLE""}]"
Wireless Microphone #031,Wireless Microphone in poor condition.,POOR,AVAILABLE,PER_HOUR,186,7755,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-31/640/480,"[""https://picsum.photos/seed/item-31/640/480"",""https://picsum.photos/seed/item-31-a/1024/768"",""https://picsum.photos/seed/item-31-b/1024/768""]","[""PET_SUPPLIES""]","[""tools"",""battery""]",true,1710,70,36,,,"[{""startDate"":""2026-03-11T02:50:23.198Z"",""endDate"":""2026-03-13T02:50:23.198Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-16T02:50:23.198Z"",""endDate"":""2026-03-20T02:50:23.198Z"",""status"":""AVAILABLE""}]"
Badminton Racket Set #032,Badminton Racket Set in new condition.,NEW,DEACTIVATED,PER_DAY,292,9959,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-32/640/480,"[""https://picsum.photos/seed/item-32/640/480"",""https://picsum.photos/seed/item-32-a/1024/768"",""https://picsum.photos/seed/item-32-b/1024/768""]","[""TOOLS""]","[""study"",""student-friendly"",""clean"",""home""]",true,1646,74,104,,,"[{""startDate"":""2026-03-03T02:50:23.198Z"",""endDate"":""2026-03-05T02:50:23.198Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-08T02:50:23.198Z"",""endDate"":""2026-03-12T02:50:23.198Z"",""status"":""AVAILABLE""}]"
Mountain Bike #033,Mountain Bike in fair condition.,FAIR,AVAILABLE,PER_HOUR,121,3987,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",Minor cosmetic scratches.,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-33/640/480,"[""https://picsum.photos/seed/item-33/640/480"",""https://picsum.photos/seed/item-33-a/1024/768"",""https://picsum.photos/seed/item-33-b/1024/768""]","[""TOOLS"",""FURNITURE"",""HEALTH_BEAUTY""]","[""student-friendly"",""tools"",""home"",""study""]",true,2310,8,141,,,"[{""startDate"":""2026-03-31T02:50:23.198Z"",""endDate"":""2026-04-02T02:50:23.198Z"",""status"":""AVAILABLE""},{""startDate"":""2026-04-05T02:50:23.198Z"",""endDate"":""2026-04-09T02:50:23.198Z"",""status"":""AVAILABLE""}]"
Badminton Racket Set #034,Badminton Racket Set in fair condition.,FAIR,AVAILABLE,PER_DAY,158,9877,false,Reliable performance for school or home tasks.,"Main unit, charger/accessory kit, and carrying case.",,Return cleaned and on time; indoor use preferred.,https://picsum.photos/seed/item-34/640/480,"[""https://picsum.photos/seed/item-34/640/480"",""https://picsum.photos/seed/item-34-a/1024/768"",""https://picsum.photos/seed/item-34-b/1024/768""]","[""SCHOOL_SUPPLIES""]","[""portable"",""home""]",true,1130,1,117,,,"[{""startDate"":""2026-03-25T02:50:23.198Z"",""endDate"":""2026-03-27T02:50:23.198Z"",""status"":""AVAILABLE""},{""startDate"":""2026-03-30T02:50:23.198Z"",""endDate"":""2026-04-03T02:50:23.198Z"",""status"":""AVAILABLE""}]"
